	Rhabditis	Mesorhabditis	Cephalobus	Acrobeloides	Ceratoplectus	Ditylenchus	Aphelenchus	Paraphelenchus	Tylencholaimus	Prodorylaimus	Mesodorylaimus	Eudorylaimus	Epidorylaimus	Aporcelaimellus
Rhabditis	0	-0.826362120720149	0	0	0	0	0	0	0.768349819927832	0	0	0.736988602787921	0	0
Mesorhabditis	-0.826362120720149	0	0	0	0	0	0	0	-0.763762615825973	0	0	-0.732588631506546	0	0
Cephalobus	0	0	0	0	0	0	-0.833333333333333	0	0	0	0	0	0	0
Acrobeloides	0	0	0	0	0	0.946124746911475	0	0	0	0	-0.735652119676169	0	0	0
Ceratoplectus	0	0	0	0	0	0	0	0	0.732588631506546	0	0	0.763762615825973	0	0
Ditylenchus	0	0	0	0.946124746911475	0	0	0	0	0	0	-0.816629506704908	0	0	0
Aphelenchus	0	0	-0.833333333333333	0	0	0	0	0	0	0	0.773703091383558	0	0	0
Paraphelenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710284805204577
Tylencholaimus	0.768349819927832	-0.763762615825973	0	0	0.732588631506546	0	0	0	0	0	0	0.959183673469388	0	0
Prodorylaimus	0	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0
Mesodorylaimus	0	0	0	-0.735652119676169	0	-0.816629506704908	0.773703091383558	0	0	0	0	0	0	0
Eudorylaimus	0.736988602787921	-0.732588631506546	0	0	0.763762615825973	0	0	0	0.959183673469388	0	0	0	0	0
Epidorylaimus	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0
Aporcelaimellus	0	0	0	0	0	0	0	0.710284805204577	0	0	0	0	0	0
