	BACasv1	BACasv2	BACasv3	BACasv4	BACasv5	BACasv6	BACasv8	BACasv9	BACasv10	BACasv11	BACasv12	BACasv13	BACasv17	BACasv18	BACasv19	BACasv21	BACasv22	BACasv25	BACasv26	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv36	BACasv37	BACasv39	BACasv42	BACasv46	BACasv47	BACasv54	BACasv66	BACasv67	BACasv70	BACasv73	BACasv89	BACasv90	BACasv91	BACasv92	BACasv96	BACasv100	BACasv101	BACasv103	BACasv110	BACasv114	BACasv123	BACasv125	BACasv128	BACasv129	BACasv142	BACasv145	BACasv148	BACasv157	BACasv160	BACasv161	BACasv173	BACasv176	BACasv187	BACasv207	BACasv208	BACasv211	BACasv213	BACasv221	BACasv242	BACasv271	BACasv287	BACasv300	BACasv302	BACasv306	BACasv324	BACasv367	BACasv374	BACasv388	BACasv389	BACasv428	BACasv489	BACasv562	BACasv637	BACasv672	BACasv673	BACasv750	BACasv835	BACasv872	BACasv890	BACasv997
BACasv1	0	-0.80952380952381	0.833333333333333	-0.714285714285714	-0.80952380952381	-0.833333333333333	0.785714285714286	0.714285714285714	-0.714285714285714	-0.904761904761905	-0.934148484292342	0	0.785714285714286	0.738095238095238	-0.857142857142857	-0.857142857142857	-0.952380952380952	0	0	-0.833333333333333	0	-0.904761904761905	-0.952380952380952	0	0.714285714285714	0.904761904761905	-0.714285714285714	0	0.80952380952381	-0.928571428571429	0.714285714285714	0	-0.857142857142857	0.785714285714286	0	0	0	0	-0.80952380952381	0	-0.880952380952381	0	0	-0.785714285714286	0	-0.738095238095238	0	-0.761904761904762	0.738095238095238	-0.738095238095238	0	0	0.785714285714286	-0.857142857142857	0	0	-0.791039852105472	-0.761019434147762	-0.857142857142857	0.833333333333333	-0.710284805204577	0	0	0	0	0	0	0	0	0	0	0.874267171196679	-0.763762615825973	0	0.761904761904762	0	-0.79907040585515	0	-0.790433332862751	0	0	0	0	0	0	0	0
BACasv2	-0.80952380952381	0	-0.761904761904762	0.80952380952381	0	0.738095238095238	-0.785714285714286	-0.880952380952381	0.761904761904762	0.714285714285714	0.946124746911475	0.738095238095238	-0.880952380952381	0	0.857142857142857	0.928571428571429	0.80952380952381	0.714285714285714	0	0.738095238095238	-0.833333333333333	0.785714285714286	0.80952380952381	0.761904761904762	0	-0.785714285714286	0.880952380952381	0	-0.833333333333333	0.880952380952381	-0.880952380952381	-0.785714285714286	0	0	0.833333333333333	0	0.904761904761905	0.738095238095238	0.952380952380952	0	0.904761904761905	0.714285714285714	0	0.904761904761905	-0.785714285714286	0	0	0	-0.80952380952381	0.80952380952381	0	-0.833333333333333	-0.952380952380952	0.928571428571429	0	0	0	0.710284805204577	0.928571428571429	-0.928571428571429	0.735652119676169	0	0	0	0	0	0	0	0	0	0	-0.826362120720149	0.736485379546474	0	-0.80952380952381	0	0	0	0.97007727214974	0	0	0	0	0	0	0	0
BACasv3	0.833333333333333	-0.761904761904762	0	-0.857142857142857	0	-0.857142857142857	0.880952380952381	0.761904761904762	0	-0.761904761904762	-0.850314645958414	-0.714285714285714	0.714285714285714	0	0	-0.80952380952381	-0.928571428571429	0	0	-0.857142857142857	0.80952380952381	-0.952380952380952	-0.928571428571429	-0.738095238095238	0.738095238095238	0.952380952380952	-0.833333333333333	0	0.928571428571429	-0.928571428571429	0.761904761904762	0	-0.785714285714286	0.761904761904762	0	0	0	-0.714285714285714	-0.833333333333333	0	-0.80952380952381	-0.833333333333333	0	-0.857142857142857	0.738095238095238	0	0	0	0.904761904761905	-0.904761904761905	-0.714285714285714	0.714285714285714	0.714285714285714	-0.880952380952381	0	0	-0.736485379546474	-0.86248869203413	-0.80952380952381	0.833333333333333	-0.811754063090946	0	0	0	0	0	0	0	0	0	0	0.874267171196679	0	0	0	0	0	0	-0.778457070243618	0	0	0	0	0	0	0	0
BACasv4	-0.714285714285714	0.80952380952381	-0.857142857142857	0	0.761904761904762	0.738095238095238	-0.880952380952381	-0.880952380952381	0.761904761904762	0.714285714285714	0.754504545005353	0.738095238095238	0	0	0	0.738095238095238	0.80952380952381	0.714285714285714	0	0.738095238095238	-0.833333333333333	0.785714285714286	0.80952380952381	0	0	-0.785714285714286	0.880952380952381	0	-0.833333333333333	0.785714285714286	-0.880952380952381	0	0	-0.761904761904762	0	0.738095238095238	0.761904761904762	0.880952380952381	0.761904761904762	0.714285714285714	0.80952380952381	0.904761904761905	0	0.80952380952381	-0.880952380952381	0.833333333333333	0	0	-0.904761904761905	0.904761904761905	0	-0.833333333333333	-0.857142857142857	0.738095238095238	0	0	0	0.913223320977314	0.738095238095238	-0.833333333333333	0.938590635448906	0	0	0	0	0	0	0	0	0	0	-0.874267171196679	0	0	-0.761904761904762	0	0	0	0.778457070243618	0	0	0	0	0	0	0	0
BACasv5	-0.80952380952381	0	0	0.761904761904762	0	0	0	0	0.857142857142857	0.952380952380952	0	0.785714285714286	0	0	0.80952380952381	0.714285714285714	0.80952380952381	0.738095238095238	0	0.833333333333333	0	0	0.714285714285714	0.761904761904762	-0.857142857142857	0	0	0	0	0	0	0	0.904761904761905	-0.738095238095238	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0.928571428571429	0	0	0	0.785714285714286	0	0	-0.738095238095238	0	0	0	0.791039852105472	0.811754063090946	0.714285714285714	-0.785714285714286	0.86248869203413	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0.722968462440373	0	0	0	0	0	0	0	0	0	0
BACasv6	-0.833333333333333	0.738095238095238	-0.857142857142857	0.738095238095238	0	0	-0.952380952380952	-0.857142857142857	0.761904761904762	0.738095238095238	0.814385858101016	0	-0.857142857142857	0	0.785714285714286	0.80952380952381	0.80952380952381	0.833333333333333	0	0.80952380952381	-0.857142857142857	0.952380952380952	0.904761904761905	0	0	-0.952380952380952	0.880952380952381	0.714285714285714	-0.928571428571429	0.80952380952381	-0.857142857142857	0	0.785714285714286	-0.952380952380952	0.761904761904762	0	0.714285714285714	0.714285714285714	0.857142857142857	0	0.904761904761905	0.714285714285714	0	0.904761904761905	0	0.714285714285714	0	0	-0.904761904761905	0.714285714285714	0.80952380952381	-0.714285714285714	-0.761904761904762	0.833333333333333	0	0	0	0.86248869203413	0.80952380952381	0	0.786386748619354	0	0	0	0	0	0	0	0	0	0	-0.922172221673209	0	0	-0.761904761904762	0	0	0	0.814385858101016	0	0	0	0	0	0	0	0
BACasv8	0.785714285714286	-0.785714285714286	0.880952380952381	-0.880952380952381	0	-0.952380952380952	0	0.928571428571429	-0.761904761904762	0	-0.802409595481884	0	0.80952380952381	0	-0.738095238095238	-0.785714285714286	-0.80952380952381	-0.80952380952381	0	-0.761904761904762	0.904761904761905	-0.928571428571429	-0.904761904761905	0	0	0.928571428571429	-0.952380952380952	-0.80952380952381	0.952380952380952	-0.80952380952381	0.928571428571429	0	-0.714285714285714	0.928571428571429	-0.80952380952381	0	-0.785714285714286	-0.833333333333333	-0.857142857142857	-0.761904761904762	-0.928571428571429	-0.80952380952381	0	-0.928571428571429	0.761904761904762	-0.761904761904762	0	0	0.976190476190476	-0.785714285714286	-0.880952380952381	0.785714285714286	0.833333333333333	-0.80952380952381	0	0	0	-0.913223320977314	-0.785714285714286	0.714285714285714	-0.86248869203413	0	0	0	0	0	0	0	0	0	0	0.97007727214974	0	0	0.833333333333333	0	0	0	-0.826362120720149	0	0	0	0	0	0	0	0
BACasv9	0.714285714285714	-0.880952380952381	0.761904761904762	-0.880952380952381	0	-0.857142857142857	0.928571428571429	0	-0.880952380952381	0	-0.802409595481884	-0.714285714285714	0.904761904761905	0	-0.833333333333333	-0.857142857142857	-0.738095238095238	-0.880952380952381	0	-0.761904761904762	0.904761904761905	-0.80952380952381	-0.785714285714286	0	0	0.80952380952381	-0.952380952380952	0	0.857142857142857	-0.738095238095238	1	0	-0.714285714285714	0.857142857142857	-0.833333333333333	0	-0.928571428571429	-0.928571428571429	-0.880952380952381	-0.833333333333333	-0.904761904761905	-0.738095238095238	0	-0.904761904761905	0.833333333333333	-0.761904761904762	-0.714285714285714	0	0.904761904761905	-0.80952380952381	-0.738095238095238	0.857142857142857	0.952380952380952	-0.80952380952381	0	0	0	-0.837121377562538	-0.857142857142857	0.785714285714286	-0.86248869203413	0	0	0	-0.748335776911965	0	0	0	0	0	0	0.886243433815812	0	0	0.857142857142857	0	0	0	-0.922172221673209	0	0	0	0	0	0	0	0
BACasv10	-0.714285714285714	0.761904761904762	0	0.761904761904762	0.857142857142857	0.761904761904762	-0.761904761904762	-0.880952380952381	0	0.857142857142857	0	0.80952380952381	-0.904761904761905	0	0.904761904761905	0.833333333333333	0.714285714285714	0.928571428571429	0	0.857142857142857	-0.714285714285714	0	0	0.761904761904762	-0.738095238095238	0	0.738095238095238	0	0	0	-0.880952380952381	0	0.880952380952381	-0.833333333333333	0	0.714285714285714	0.761904761904762	0.857142857142857	0.714285714285714	0	0.738095238095238	0	0	0	-0.761904761904762	0.857142857142857	0	0	0	0.785714285714286	0	-0.738095238095238	-0.880952380952381	0	0	0	0	0.786386748619354	0.833333333333333	-0.761904761904762	0.86248869203413	0	0	0	0.761019434147762	0	0	0	0	0	0	-0.718575757147955	0	0	-0.714285714285714	0	0	0	0.826362120720149	0	0	0	0	0	0	0	0
BACasv11	-0.904761904761905	0.714285714285714	-0.761904761904762	0.714285714285714	0.952380952380952	0.738095238095238	0	0	0.857142857142857	0	0.802409595481884	0.738095238095238	-0.785714285714286	-0.761904761904762	0.857142857142857	0.833333333333333	0.904761904761905	0.714285714285714	0.714285714285714	0.928571428571429	0	0.785714285714286	0.80952380952381	0.761904761904762	-0.833333333333333	-0.785714285714286	0	0	0	0.785714285714286	0	0	0.976190476190476	-0.761904761904762	0	0	0	0	0	0	0.714285714285714	0	0.722968462440373	0	0	0.833333333333333	0	0.785714285714286	0	0.80952380952381	0	0	-0.761904761904762	0.738095238095238	0	0	0.87287156094397	0.761019434147762	0.833333333333333	-0.833333333333333	0.786386748619354	0	0	0.722968462440373	0	0	0	0	0	0	0	-0.730552019767088	0.84559432466447	0	0	0	0.811754063090946	0	0.730552019767088	0	0	0	0	0	0	0	0
