	Rhabditis	Mesorhabditis	Heterocephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Rhabdolaimus	Alaimus	Paramphidelus	Filenchus	Ditylenchus	Aphelenchus	Aphelenchoides	Tylencholaimus	Tripyla	Klarkus	Prodorylaimus	Mesodorylaimus	Thonus	Eudorylaimus	Epidorylaimus	Microdorylaimus	Aporcelaimellus
Rhabditis	0	0	0	-0.790433332862751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807287510292399	0	0	0.780720058358827	0	0	0	0	0	0
Heterocephalobus	0	0	0	0	0	0	0	0.711777005827033	0	0	0	0	0	-0.872743301217916	0	0	-0.711777005827033	0	0	0	0	0	0
Acrobeloides	-0.790433332862751	0	0	0	-0.740963855421687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceratoplectus	0	0	0	-0.740963855421687	0	0	0	0	0	0	0	0.850314645958414	0	0	0	0	0	0	0	0.783132530120482	0	0	0
Prismatolaimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.728915662650602	0	0	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0	0	0	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0
Alaimus	0	0	0.711777005827033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paramphidelus	0	0	0	0	0	0	0	0	0	-0.855362829225267	0	0	0	0	0	0	-0.855362829225267	-0.827412753818944	0	0	-0.808888587688669	0	0
Filenchus	0	0	0	0	0	0	0	0	-0.855362829225267	0	0	0	0	0	0	0	0	0.736321040510724	0	0	0.981761387347632	0	0.725
Ditylenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715164649609126	-0.806075410152659	0	-0.74546823645697	0	0	0	0	0
Aphelenchus	0	0	0	0	0.850314645958414	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0.97007727214974	0	0	0
Aphelenchoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.898219696434944	0	0	0.850314645958414	0	0	0	0.862290908577547	0
Tylencholaimus	0	0.807287510292399	-0.872743301217916	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802530297277792	0	0	0	0	0	0
Tripyla	0	0	0	0	0	0	0	0	0	0	0.715164649609126	0	-0.898219696434944	0	0	0	0	-0.939759036144578	0	0	0	-0.855421686746988	0
Klarkus	0	0	0	0	0	0	0	0	0	0	-0.806075410152659	0	0	0	0	0	0	0	0	0	0	0	0
Prodorylaimus	0	0.780720058358827	-0.711777005827033	0	0	0	0	0	-0.855362829225267	0	0	0	0	0.802530297277792	0	0	0	0.748593057852569	0	0	0	0	0
Mesodorylaimus	0	0	0	0	0	0	0	0	-0.827412753818944	0.736321040510724	-0.74546823645697	0	0.850314645958414	0	-0.939759036144578	0	0.748593057852569	0	0	0	0	0.734939759036145	0
Thonus	0	0	0	0	0	-0.728915662650602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eudorylaimus	0	0	0	0	0.783132530120482	0	0	0	0	0	0	0.97007727214974	0	0	0	0	0	0	0	0	0	0	0
Epidorylaimus	0	0	0	0	0	0	0	0	-0.808888587688669	0.981761387347632	0	0	0	0	0	0	0	0	0	0	0	0	0
Microdorylaimus	0	0	0	0	0	0	0	0	0	0	0	0	0.862290908577547	0	-0.855421686746988	0	0	0.734939759036145	0	0	0	0	0
Aporcelaimellus	0	0	0	0	0	0	0	0	0	0.725	0	0	0	0	0	0	0	0	0	0	0	0	0
