ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
Rhabditis	0.044444444	0.127906977	0.079545455	0.024096386	0.05	0.11	0.09	0.1
Mesorhabditis	0.122222222	0.162790698	0.147727273	0.144578313	0.12	0.14	0.13	0.11
Heterocephalobus	0.066666667	0.023255814	0.034090909	0.024096386	0.06	0.05	0	0.05
Acrobeloides	0.066666667	0.034883721	0.045454545	0.084337349	0.08	0.04	0.04	0.07
Ceratoplectus	0.033333333	0.034883721	0.034090909	0.012048193	0.03	0.03	0.06	0.01
Prismatolaimus	0.011111111	0.011627907	0.045454545	0.012048193	0.02	0.01	0.04	0.04
Rhabdolaimus	0.022222222	0.011627907	0.011363636	0.048192771	0.04	0.04	0.04	0.04
Alaimus	0.044444444	0.011627907	0.011363636	0	0.04	0	0	0.02
Paramphidelus	0.055555556	0	0.034090909	0	0.06	0.05	0.05	0
Filenchus	0.033333333	0.034883721	0.034090909	0.048192771	0.03	0.03	0.03	0.04
Ditylenchus	0.033333333	0.034883721	0.034090909	0	0.04	0.04	0.03	0
Aphelenchus	0.133333333	0.11627907	0.159090909	0.072289157	0.11	0.09	0.14	0.08
Aphelenchoides	0.011111111	0.023255814	0.034090909	0.096385542	0.02	0.04	0.03	0.05
Tylencholaimus	0	0.058139535	0.034090909	0.024096386	0	0.02	0.03	0.02
Tripyla	0.033333333	0.023255814	0.011363636	0	0.03	0.02	0.01	0
Klarkus	0.022222222	0.011627907	0.022727273	0.024096386	0.02	0	0.02	0.03
Prodorylaimus	0.022222222	0.034883721	0.034090909	0.048192771	0.02	0.03	0.03	0.03
Mesodorylaimus	0	0.023255814	0.034090909	0.072289157	0	0.02	0.03	0.04
Thonus	0.044444444	0.058139535	0.034090909	0.072289157	0.04	0.05	0.03	0.04
Eudorylaimus	0.022222222	0.011627907	0.034090909	0	0.02	0.01	0.03	0
Epidorylaimus	0.011111111	0.011627907	0.011363636	0.096385542	0.01	0.01	0	0.05
Microdorylaimus	0.022222222	0	0.022727273	0.048192771	0.02	0.03	0.03	0.04
Aporcelaimellus	0.022222222	0.023255814	0.022727273	0.024096386	0.02	0	0.02	0.02
