	Rhabditis	Mesorhabditis	Cephalobus	Acrobeloides	Ceratoplectus	Prismatolaimus	Rhabdolaimus	Paramphidelus	Filenchus	Ditylenchus	Aphelenchus	Aphelenchoides	Tylencholaimus	Tripyla	Klarkus	Prodorylaimus	Mesodorylaimus	Thonus	Eudorylaimus	Microdorylaimus	Aporcelaimellus
Rhabditis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhabditis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Cephalobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Acrobeloides	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceratoplectus	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Prismatolaimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rhabdolaimus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Paramphidelus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Filenchus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
Ditylenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Aphelenchus	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aphelenchoides	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
Tylencholaimus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tripyla	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
Klarkus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Prodorylaimus	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
Mesodorylaimus	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0
Thonus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eudorylaimus	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Microdorylaimus	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
Aporcelaimellus	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
