	FUNasv1	FUNasv5	FUNasv6	FUNasv7	FUNasv8	FUNasv9	FUNasv10	FUNasv12	FUNasv14	FUNasv15	FUNasv16	FUNasv17	FUNasv20	FUNasv23	FUNasv25	FUNasv26	FUNasv27	FUNasv28	FUNasv30	FUNasv33	FUNasv38	FUNasv39	FUNasv40	FUNasv43	FUNasv48	FUNasv49	FUNasv50	FUNasv51	FUNasv52	FUNasv53	FUNasv54	FUNasv55	FUNasv58	FUNasv61	FUNasv62	FUNasv63	FUNasv65	FUNasv66	FUNasv69	FUNasv71	FUNasv72	FUNasv74	FUNasv77	FUNasv79	FUNasv81	FUNasv82	FUNasv83	FUNasv85	FUNasv94	FUNasv95	FUNasv98	FUNasv99	FUNasv100	FUNasv103	FUNasv104	FUNasv107	FUNasv111	FUNasv114	FUNasv115	FUNasv116	FUNasv122	FUNasv124	FUNasv126	FUNasv128	FUNasv129	FUNasv134	FUNasv135	FUNasv136	FUNasv137	FUNasv138	FUNasv142	FUNasv144	FUNasv152	FUNasv155	FUNasv160	FUNasv162	FUNasv164	FUNasv168	FUNasv169	FUNasv176	FUNasv179	FUNasv200	FUNasv202	FUNasv203	FUNasv204	FUNasv206	FUNasv208	FUNasv209	FUNasv210	FUNasv214	FUNasv216	FUNasv220	FUNasv223	FUNasv227	FUNasv229	FUNasv232	FUNasv234	FUNasv237	FUNasv240	FUNasv241	FUNasv242	FUNasv243	FUNasv247	FUNasv262	FUNasv275	FUNasv292	FUNasv293	FUNasv294	FUNasv296	FUNasv297	FUNasv300	FUNasv307	FUNasv318	FUNasv320	FUNasv323	FUNasv331	FUNasv341	FUNasv343	FUNasv344	FUNasv356	FUNasv368	FUNasv372	FUNasv387	FUNasv393	FUNasv395	FUNasv408	FUNasv411	FUNasv412	FUNasv441	FUNasv442	FUNasv443	FUNasv446	FUNasv448	FUNasv456	FUNasv472	FUNasv481	FUNasv482	FUNasv489	FUNasv499	FUNasv525	FUNasv534	FUNasv552	FUNasv554	FUNasv555	FUNasv575	FUNasv683
FUNasv1	0	0.761904761904762	0	0	0.904761904761905	0	0	0.80952380952381	0	0	-0.928571428571429	0	-0.714285714285714	0	-0.857142857142857	0.785714285714286	0.857142857142857	0.850314645958414	0.857142857142857	0	0.714285714285714	0	0	0.80952380952381	0	0	-0.857142857142857	0	0	0.838338383339281	0	0	0.976190476190476	0	0.785714285714286	0	0	-0.857142857142857	0.829515062006253	0.761904761904762	0	-0.714285714285714	0	0	0.934148484292342	0	0.829515062006253	0.714285714285714	0	0	0.850314645958414	0.785714285714286	0	0	0	0	0.754504545005353	0.857142857142857	0.785714285714286	-0.754504545005353	0	0.904761904761905	0	0	0	0	0.80952380952381	0.80511756018254	0.87831006565368	0.778457070243618	0.785714285714286	0.975900072948533	0.904761904761905	0	0	-0.761019434147762	0	0.785714285714286	0	0	0	0.730552019767088	0.904761904761905	0	0	0	0	0	0.785714285714286	-0.754504545005353	0	0	-0.833333333333333	0.714285714285714	-0.714285714285714	0.902707567477393	0.785714285714286	0	-0.707527552887687	0	0	0	0	-0.761904761904762	0	0	-0.735652119676169	-0.86248869203413	-0.786386748619354	0	0	0	0	-0.707527552887687	-0.707527552887687	-0.763762615825973	-0.811754063090946	0	0	-0.86248869203413	0	0	-0.86248869203413	0	0	0	-0.86248869203413	-0.874267171196679	0	0	0	0	-0.714285714285714	-0.913223320977314	0	0	0	0	-0.766480807624486	0	0	0	-0.791039852105472	0	0	-0.763762615825973
FUNasv5	0.761904761904762	0	0.833333333333333	0.785714285714286	0.928571428571429	-0.857142857142857	-0.857142857142857	0.952380952380952	0.785714285714286	0.707527552887687	0	0.833333333333333	-0.714285714285714	0	-0.761904761904762	0	0.904761904761905	0.910195959054077	0	0	0	0	0.738095238095238	0.952380952380952	0	0.898219696434944	0	-0.80952380952381	0	0.898219696434944	0	0	0.80952380952381	0.829515062006253	0.904761904761905	0	0	-0.880952380952381	0.95150257112482	0.857142857142857	0	0	0	0	0.850314645958414	0	0.756322556535113	0.738095238095238	0	-0.785714285714286	0.910195959054077	0.761904761904762	0	-0.80952380952381	-0.714285714285714	0.718575757147955	0.886243433815812	0.880952380952381	0.857142857142857	0	0	0.904761904761905	0	0	0.880952380952381	0.785714285714286	0.857142857142857	0.780720058358827	0.756322556535113	0.742528282386221	0.976190476190476	0.80511756018254	0.714285714285714	-0.80952380952381	0.738095238095238	-0.86248869203413	0	0	-0.904761904761905	0	0.853912563829967	0.778457070243618	0.80952380952381	-0.761904761904762	0	-0.80952380952381	0.738095238095238	0	0.714285714285714	-0.778457070243618	0	0	-0.761904761904762	0.785714285714286	-0.80952380952381	0.80511756018254	0.904761904761905	0	-0.902707567477393	0.738095238095238	0	0	-0.761019434147762	0	0	-0.833333333333333	-0.86248869203413	-0.86248869203413	-0.811754063090946	0	0.780720058358827	-0.80952380952381	0	0	-0.829515062006253	0	-0.913223320977314	-0.80511756018254	0	-0.938590635448906	0.814385858101016	0	-0.86248869203413	0	0	0	-0.938590635448906	-0.922172221673209	0	0	0	0	-0.80952380952381	-0.837121377562538	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv6	0	0.833333333333333	0	0	0.714285714285714	-0.880952380952381	-0.80952380952381	0.928571428571429	0	0	0	0	0	0	0	0	0	0.874267171196679	0	0	0	0	0	0.928571428571429	0	0	0	-0.785714285714286	0	0	0	0	0	0.7319250547114	0.833333333333333	0	0	-0.857142857142857	0.780720058358827	0	0	-0.833333333333333	0	0	0.718575757147955	0	0	0	0	0	0.874267171196679	0	0	-0.738095238095238	0	0	0.97007727214974	0	0	-0.718575757147955	0	0.738095238095238	0	0	0.928571428571429	0.976190476190476	0	0	0	0.826362120720149	0.785714285714286	0.707527552887687	0	-0.785714285714286	0	-0.875172349269926	0	0	-0.904761904761905	0	0.707527552887687	0	0	0	0	-0.976190476190476	0	0	0.80952380952381	0	-0.791039852105472	0	0	0	0	0.707527552887687	0.833333333333333	0	-0.95150257112482	0	-0.763762615825973	0.874267171196679	-0.79907040585515	0	0	-1	-0.773703091383558	-0.79907040585515	-0.849805034798334	0	0	0	0	0	-0.829515062006253	0	-0.722968462440373	0	0	-0.748335776911965	0	-0.946124746911475	-0.79907040585515	0	0	0	-0.748335776911965	-0.730552019767088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv7	0	0.785714285714286	0	0	0.880952380952381	0	0	0.738095238095238	0	0.853912563829967	0	0.904761904761905	0	0	0	0	0.80952380952381	0.766480807624486	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0.946124746911475	0	0	0.785714285714286	0.756322556535113	0.714285714285714	0	0	-0.738095238095238	0.80511756018254	0	0	0	0	0	0	0	0	0	0	0	0.766480807624486	0	0	0	0	0	0	0.952380952380952	0.976190476190476	0	0	0.785714285714286	0	0.738095238095238	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	0	0	0	0	0.7319250547114	0	0.738095238095238	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0.791039852105472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791039852105472	0	0	0	-0.778457070243618	0	0	0	0.84559432466447	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv8	0.904761904761905	0.928571428571429	0.714285714285714	0.880952380952381	0	0	0	0.904761904761905	0	0	-0.833333333333333	0.833333333333333	0	0	-0.833333333333333	0	0.952380952380952	0.922172221673209	0.761904761904762	0	0	0	0	0.904761904761905	0	0.802409595481884	-0.714285714285714	0	0	0.97007727214974	0	0	0.952380952380952	0.756322556535113	0.880952380952381	0	0	-0.904761904761905	0.95150257112482	0.785714285714286	0	0	0	0	0.898219696434944	0	0.756322556535113	0.761904761904762	0	-0.785714285714286	0.922172221673209	0.738095238095238	0	0	0	0	0.826362120720149	0.976190476190476	0.928571428571429	0	0	0.952380952380952	0	0	0.785714285714286	0	0.904761904761905	0.7319250547114	0.756322556535113	0	0.952380952380952	0.902707567477393	0.761904761904762	0	0	-0.786386748619354	0	0	-0.833333333333333	0	0.7319250547114	0.790433332862751	0.928571428571429	-0.785714285714286	0	0	0.714285714285714	0	0	0	0	0	-0.785714285714286	0.714285714285714	-0.785714285714286	0.80511756018254	0.880952380952381	0	-0.780720058358827	0.738095238095238	0	0	-0.710284805204577	0	0	-0.714285714285714	-0.811754063090946	-0.837121377562538	-0.761019434147762	0	0	0	0	0	-0.80511756018254	0	-0.887856006505722	-0.707527552887687	0	-0.913223320977314	0	0	-0.837121377562538	0	0	0	-0.913223320977314	-0.946124746911475	0	0	0	0	-0.785714285714286	-0.86248869203413	0	0	0	0	-0.730552019767088	0	0	0	0	0	0	0
FUNasv9	0	-0.857142857142857	-0.880952380952381	0	0	0	0.952380952380952	-0.880952380952381	-0.761904761904762	0	0	0	0.738095238095238	0	0	-0.761904761904762	0	-0.802409595481884	0	-0.857142857142857	0	0	-0.857142857142857	-0.880952380952381	-0.761904761904762	-0.826362120720149	0.785714285714286	0.976190476190476	0	0	0	0	0	0	-0.80952380952381	-0.738095238095238	0.857142857142857	0.785714285714286	-0.780720058358827	-0.833333333333333	0	0.80952380952381	0	0	-0.778457070243618	0	-0.780720058358827	0	0	0	-0.802409595481884	-0.80952380952381	0	0.857142857142857	0.738095238095238	-0.922172221673209	-0.898219696434944	0	0	0.730552019767088	0	-0.738095238095238	0	0	-0.904761904761905	-0.904761904761905	0	-0.853912563829967	-0.829515062006253	-0.922172221673209	-0.785714285714286	-0.7319250547114	-0.738095238095238	0.976190476190476	-0.857142857142857	0.938590635448906	-0.833333333333333	-0.80952380952381	0.857142857142857	0	0	0	0	0	0	0.857142857142857	0	0	-0.904761904761905	0.874267171196679	0.791039852105472	0	0.714285714285714	-0.833333333333333	0.738095238095238	-0.853912563829967	-0.80952380952381	-0.722968462440373	0.975900072948533	0	0.763762615825973	-0.754504545005353	0.86248869203413	0.833333333333333	0	0.880952380952381	0.86248869203413	0.887856006505722	0.913223320977314	-0.7319250547114	-0.829515062006253	0.904761904761905	0.874267171196679	0.780720058358827	0.80511756018254	0	0.837121377562538	0.853912563829967	0	0.86248869203413	-0.850314645958414	0.778457070243618	0.887856006505722	0	0	0	0.86248869203413	0.754504545005353	0	0	0	0	0.738095238095238	0.811754063090946	0	0	0	0	0.742528282386221	0	0	0	0	0	0	0
FUNasv10	0	-0.857142857142857	-0.80952380952381	0	0	0.952380952380952	0	-0.833333333333333	-0.785714285714286	0	0	0	0.738095238095238	0	0	-0.761904761904762	-0.738095238095238	-0.802409595481884	0	-0.857142857142857	-0.785714285714286	0	-0.880952380952381	-0.833333333333333	-0.738095238095238	-0.874267171196679	0.785714285714286	0.976190476190476	0	0	0	0	0	0	-0.857142857142857	-0.833333333333333	0.857142857142857	0.785714285714286	-0.829515062006253	-0.833333333333333	0	0	0	0	0	0	-0.829515062006253	-0.738095238095238	-0.7319250547114	0.761904761904762	-0.802409595481884	-0.761904761904762	0	0.952380952380952	0.785714285714286	-0.922172221673209	-0.850314645958414	0	0	0	-0.802409595481884	0	0	0	-0.904761904761905	-0.785714285714286	0	-0.853912563829967	-0.780720058358827	-0.826362120720149	-0.833333333333333	0	0	0.976190476190476	-0.857142857142857	0.938590635448906	-0.880952380952381	-0.80952380952381	0.904761904761905	0	0	0	0	0.738095238095238	0	0.785714285714286	0	0	-0.80952380952381	0.898219696434944	0.791039852105472	0	0.761904761904762	-0.833333333333333	0.738095238095238	-0.756322556535113	-0.857142857142857	-0.786386748619354	0.927105069301107	0	0.763762615825973	-0.778457070243618	0.86248869203413	0.833333333333333	0	0.80952380952381	0.86248869203413	0.887856006505722	0.913223320977314	-0.80511756018254	-0.853912563829967	0.904761904761905	0.898219696434944	0.829515062006253	0.853912563829967	0	0.837121377562538	0.902707567477393	0	0.86248869203413	-0.922172221673209	0.754504545005353	0.887856006505722	0	0	0	0.86248869203413	0.730552019767088	0	0	0	0	0.738095238095238	0.811754063090946	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv12	0.80952380952381	0.952380952380952	0.928571428571429	0.738095238095238	0.904761904761905	-0.880952380952381	-0.833333333333333	0	0	0	0	0.785714285714286	0	0	-0.761904761904762	0	0.857142857142857	0.97007727214974	0	0	0	0	0.714285714285714	1	0	0.766480807624486	-0.761904761904762	-0.80952380952381	0	0.886243433815812	0	0	0.833333333333333	0.80511756018254	0.928571428571429	0	0	-0.952380952380952	0.927105069301107	0.761904761904762	0	-0.80952380952381	0	0	0.886243433815812	0	0.7319250547114	0	0	0	0.97007727214974	0.738095238095238	0	-0.761904761904762	0	0.754504545005353	0.97007727214974	0.857142857142857	0.833333333333333	-0.730552019767088	0	0.904761904761905	0	0	0.928571428571429	0.904761904761905	0.80952380952381	0.756322556535113	0.780720058358827	0.850314645958414	0.928571428571429	0.87831006565368	0.714285714285714	-0.80952380952381	0	-0.913223320977314	0	0.738095238095238	-0.928571428571429	0	0.780720058358827	0.802409595481884	0.80952380952381	0	0	-0.880952380952381	0	0	0.833333333333333	-0.778457070243618	0	0	0	0.714285714285714	-0.714285714285714	0.853912563829967	0.928571428571429	0	-0.95150257112482	0	0	0	-0.786386748619354	-0.761904761904762	0	-0.928571428571429	-0.837121377562538	-0.913223320977314	-0.887856006505722	0	0.707527552887687	-0.738095238095238	0	0	-0.853912563829967	0	-0.86248869203413	-0.7319250547114	0	-0.913223320977314	0.754504545005353	-0.826362120720149	-0.913223320977314	0	0	0	-0.913223320977314	-0.898219696434944	0	0	0	0	-0.714285714285714	-0.86248869203413	0	0	0	0	-0.718575757147955	0	0	0	0	0	0	0
FUNasv14	0	0.785714285714286	0	0	0	-0.761904761904762	-0.785714285714286	0	0	0	0	0	-0.833333333333333	0	0	0.80952380952381	0.738095238095238	0	0	0	0	0	0.904761904761905	0	0	0.898219696434944	-0.738095238095238	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0.7319250547114	0.976190476190476	0	0	0	0	0.730552019767088	0	0.87831006565368	0.761904761904762	0.756322556535113	-0.785714285714286	0	0.80952380952381	0	0	-0.714285714285714	0.778457070243618	0	0	0	0	0.778457070243618	0.714285714285714	0.761904761904762	0	0	0	0	0.927105069301107	0.853912563829967	0	0.738095238095238	0	0.857142857142857	-0.80952380952381	0.785714285714286	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	-0.862290908577547	0	0	-0.904761904761905	0.880952380952381	-0.761904761904762	0.80511756018254	0	0.938590635448906	0	0	0	0	0	0	0	0	0	-0.773703091383558	0	0.829515062006253	0.975900072948533	-0.80952380952381	-0.718575757147955	-0.707527552887687	0	0	-0.79907040585515	-0.780720058358827	0	-0.849805034798334	0.898219696434944	0	-0.773703091383558	0	0	0	-0.849805034798334	-0.754504545005353	0	0	0	0	-0.761904761904762	-0.79907040585515	0	0	0	0	0	0	0.736485379546474	0	0	0	0	0
FUNasv15	0	0.707527552887687	0	0.853912563829967	0	0	0	0	0	0	0	0.95150257112482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736321040510724	0	0	0	0.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7319250547114	0.829515062006253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0.724049023168879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810574641843674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810574641843674	0	0	0	0	0	0	0	0.866476341281168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
