	FUNasv2	FUNasv5	FUNasv6	FUNasv7	FUNasv9	FUNasv10	FUNasv11	FUNasv12	FUNasv14	FUNasv16	FUNasv17	FUNasv24	FUNasv27	FUNasv29	FUNasv30	FUNasv32	FUNasv34	FUNasv35	FUNasv36	FUNasv38	FUNasv40	FUNasv43	FUNasv45	FUNasv51	FUNasv52	FUNasv53	FUNasv54	FUNasv58	FUNasv62	FUNasv63	FUNasv66	FUNasv67	FUNasv73	FUNasv76	FUNasv85	FUNasv86	FUNasv87	FUNasv89	FUNasv91	FUNasv98	FUNasv101	FUNasv102	FUNasv103	FUNasv132	FUNasv138	FUNasv139	FUNasv141	FUNasv143	FUNasv156	FUNasv158	FUNasv163	FUNasv166	FUNasv175	FUNasv176	FUNasv182	FUNasv186	FUNasv203	FUNasv207	FUNasv211	FUNasv214	FUNasv220	FUNasv224	FUNasv227	FUNasv229	FUNasv257	FUNasv276	FUNasv277	FUNasv291	FUNasv295	FUNasv296	FUNasv301	FUNasv310	FUNasv317	FUNasv325	FUNasv334	FUNasv364	FUNasv370	FUNasv379	FUNasv419	FUNasv485	FUNasv501	FUNasv508	FUNasv515	FUNasv544	FUNasv648
FUNasv2	0	0.904761904761905	0.714285714285714	0	0	0	-0.778457070243618	0.833333333333333	0.928571428571429	0	0	-0.857142857142857	0	0	0.785714285714286	0.904761904761905	0.976190476190476	0.874267171196679	0	0.833333333333333	0.738095238095238	0	0.910195959054077	-0.714285714285714	-0.904761904761905	0	0	0	0.761904761904762	0.880952380952381	0	0	0	0	0.714285714285714	0.761904761904762	0.714285714285714	-0.952380952380952	-0.785714285714286	0	0	0.761904761904762	0	-0.880952380952381	0	0	0.80511756018254	-0.761019434147762	0	0	0	0	0.853912563829967	0	-0.785714285714286	0	0	-0.838338383339281	0	0	0	-0.785714285714286	0	0	0	0	0	0	0.80511756018254	0	-0.938590635448906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv5	0.904761904761905	0	0	0	0	0	-0.922172221673209	0.738095238095238	0.976190476190476	0	0	-0.904761904761905	0	-0.714285714285714	0.738095238095238	1	0.928571428571429	0.946124746911475	0	0.738095238095238	0.785714285714286	0	0.958101009530607	-0.80952380952381	-0.857142857142857	0	0	0	0.80952380952381	0.785714285714286	0	0	0	0	0	0.714285714285714	0.761904761904762	-0.761904761904762	-0.738095238095238	0	0.738095238095238	0	0	-0.833333333333333	0	0	0.902707567477393	-0.710284805204577	-0.738095238095238	0	-0.730552019767088	0	0.95150257112482	0	-0.880952380952381	0	0	0	0	0	0.738095238095238	-0.880952380952381	0.756322556535113	-0.780720058358827	0	0	0	0	0.902707567477393	-0.786386748619354	-0.837121377562538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv6	0.714285714285714	0	0	0.761904761904762	0	0	0	0.714285714285714	0.738095238095238	0	0	-0.738095238095238	0	-0.761904761904762	0.714285714285714	0	0	0	0	0.80952380952381	0.928571428571429	0.761904761904762	0.754504545005353	0	-0.761904761904762	0	0	0	0.738095238095238	0	0	0	0	0	0	0.80952380952381	0.952380952380952	0	-0.928571428571429	0.880952380952381	0	0.714285714285714	-0.785714285714286	0	0	0	0.80511756018254	-0.86248869203413	-0.714285714285714	0	-0.946124746911475	0	0	0	-0.738095238095238	-0.87831006565368	-0.826362120720149	-0.826362120720149	0	-0.756322556535113	0.952380952380952	0	0.927105069301107	-0.853912563829967	0	0	-0.761904761904762	0	0.780720058358827	-0.761019434147762	-0.86248869203413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv7	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	-0.778457070243618	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.742528282386221	0	0	0	0	0	0.975900072948533	-0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902707567477393	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv10	0	0	0	0	0	0	0	0	0	-0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7319250547114	0.707527552887687	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv11	-0.778457070243618	-0.922172221673209	0	0	0	0	0	-0.790433332862751	-0.898219696434944	0	0	0.898219696434944	0	0	-0.850314645958414	-0.922172221673209	-0.802409595481884	-0.867469879518072	-0.754504545005353	0	0	0	-0.91566265060241	0.946124746911475	0.826362120720149	0	0	0	-0.910195959054077	0	0	0.859041213929178	0	0	-0.790433332862751	0	-0.790433332862751	0	0.754504545005353	-0.754504545005353	-0.898219696434944	0	0.730552019767088	0	0	0	-0.93267331798025	0.816629506704908	0.742528282386221	0	0.72289156626506	0	-0.944945335322096	0	0.97007727214974	0.809953144561796	0	0	0	0.785409109878106	-0.730552019767088	0.946124746911475	-0.77313709253626	0.834497179245487	0.742528282386221	0	0.790433332862751	0.768349819927832	-0.871313231271023	0.918708195043021	0.714550818366794	0	0	0	0	0.768349819927832	0	0	0	0	0	0	0	0.768349819927832	0
FUNasv12	0.833333333333333	0.738095238095238	0.714285714285714	0	0	0	-0.790433332862751	0	0.761904761904762	0	0	-0.761904761904762	0	0	0.857142857142857	0.738095238095238	0.80952380952381	0.802409595481884	0.833333333333333	0.714285714285714	0	0	0.790433332862751	-0.785714285714286	-0.80952380952381	0	0	0	0.928571428571429	0.880952380952381	0	-0.780720058358827	0	0	0.952380952380952	0	0	-0.857142857142857	-0.714285714285714	0	0.880952380952381	0.928571428571429	-0.761904761904762	-0.761904761904762	0	0	0.7319250547114	-0.913223320977314	0	-0.707527552887687	0	0	0.756322556535113	0	-0.785714285714286	-0.756322556535113	0	-0.946124746911475	0	-0.756322556535113	0.714285714285714	-0.785714285714286	0	-0.780720058358827	-0.761904761904762	0	0	-0.791039852105472	0.80511756018254	-0.837121377562538	-0.786386748619354	-0.732588631506546	-0.722968462440373	0	0	-0.791039852105472	0	-0.732588631506546	-0.87287156094397	-0.87287156094397	-0.732588631506546	0	-0.87287156094397	-0.791039852105472	0
FUNasv14	0.928571428571429	0.976190476190476	0.738095238095238	0	0	0	-0.898219696434944	0.761904761904762	0	0	0	-0.952380952380952	0	0	0.785714285714286	0.976190476190476	0.904761904761905	0.886243433815812	0	0.761904761904762	0.80952380952381	0	0.994029797388005	-0.785714285714286	-0.928571428571429	0	0	0	0.833333333333333	0.761904761904762	0	-0.707527552887687	0	0	0.714285714285714	0	0.80952380952381	-0.80952380952381	-0.80952380952381	0.714285714285714	0.761904761904762	0	0	-0.80952380952381	0	0	0.902707567477393	-0.761019434147762	0	0	-0.778457070243618	0	0.95150257112482	0	-0.904761904761905	0	0	-0.742528282386221	0	0	0.785714285714286	-0.904761904761905	0.756322556535113	-0.80511756018254	0	0	0	0	0.902707567477393	-0.761019434147762	-0.86248869203413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv16	0	0	0	0	0	-0.952380952380952	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
