	ProASV2	ProASV4	ProASV34	ProASV41	ProASV43	ProASV45	ProASV48	ProASV67	ProASV72	ProASV79	ProASV94	ProASV95	ProASV97	ProASV108	ProASV119	ProASV121	ProASV143	ProASV147	ProASV155	ProASV187	ProASV190	ProASV195	ProASV219	ProASV232	ProASV248	ProASV251
ProASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992156741649221	0	0	0	0	0	0	0	0	0
ProASV4	0	0	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	1
ProASV34	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	1	0.959183673469388	0	0	0	0	0
ProASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928571428571429	0
ProASV43	0	1	0	0	0	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	1
ProASV45	0	0	0	0	0	0	0.929077462597629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV48	0	0	0	0	0	0.929077462597629	0	0	0	0	0	0	0.745122224799006	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV67	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0	0.755928946018454	1	0	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454
ProASV72	0	0.755928946018454	0.959183673469388	0	0.755928946018454	0	0	0	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0	0.755928946018454	0	0.959183673469388	1	0.755928946018454	0.755928946018454	0	0	0.755928946018454
ProASV79	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.989743318610787	0	0	0	0	0	0	0	0.959183673469388	0	0
ProASV94	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	0	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	1
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	0.993957648609293	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV97	0	0	0	0	0	0	0.745122224799006	0	0	0	0	0.993957648609293	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV108	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.989743318610787	0	0	0	0	0	0	0	0.959183673469388	0	0
ProASV119	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	0	0	0	1	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	1
ProASV121	0	0	0	0	0	0	0	0	0	0.989743318610787	0	0	0	0.989743318610787	0	0	0	0	0	0	0	0	0	0.989743318610787	0	0
ProASV143	0.992156741649221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV147	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	0	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	1
ProASV155	0	0.755928946018454	0	0	0.755928946018454	0	0	1	0	0	0.755928946018454	0	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454
ProASV187	0	0	1	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0
ProASV190	0	0.755928946018454	0.959183673469388	0	0.755928946018454	0	0	0	1	0	0.755928946018454	0	0	0	0.755928946018454	0	0	0.755928946018454	0	0.959183673469388	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454
ProASV195	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	0	1	0.755928946018454	0	1
ProASV219	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	1	0	0.755928946018454	0	1
ProASV232	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0.959183673469388	0.755928946018454	0	0	0.959183673469388	0.755928946018454	0.989743318610787	0	0.755928946018454	0	0	0	0.755928946018454	0.755928946018454	0	0	0.755928946018454
ProASV248	0	0	0	0.928571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV251	0	1	0	0	1	0	0	0.755928946018454	0.755928946018454	0	1	0	0	0	1	0	0	1	0.755928946018454	0	0.755928946018454	1	1	0.755928946018454	0	0
